fire_size;fire_size_class;fire_cause;state;discovery_year;discovery_month;distance_wstation_m;vegetation_type;Temp_pre_30;Temp_pre_15;Temp_pre_7;Temp_contained;Wind_pre_30;Wind_pre_15;Wind_pre_7;Wind_contained;Hum_pre_30;Hum_pre_15;Hum_pre_7;Hum_contained;Prec_pre_30;Prec_pre_15;Prec_pre_7;Prec_contained;remoteness
17;C;Campfire;ID;2006;Aug;4042876425;9;1893367698;1470486111;133295;1712142857;3307843137;3606264501;3.77E+16;2.43E+16;3600230681;4413225058;5191959799;3464285714;7.2;7.2;6.6;0;0.456378923
70;C;Arson;MS;2006;Aug;9498162018;12;2235035907;2212319328;2066807692;1720031679;2.39E+16;286789916;2930769231;2.76E+16;7659283088;7797948718;7646692607;7474754098;175.4;170.5;67.4;138.1;0.206714852
1;B;Arson;FL;2005;Aug;4259867694;12;2712312775;2703245823;2645804878;2459970385;3450110132;3057040573;3408292683;3173445212;7595814978;7327684964;8083414634;7960696008;71.8;25.8;24.8;275.5;0.131024147
0.75;B;Campfire;ID;2005;Aug;9.41E+15;15;8.80E+15;5789227166;5530612245;15.7;1744132653;1.67E+16;1941836735;3.19;5910781671;6488051948;6582162162;35.1;0.6;0.3;0.3;0;0.445940295
40;C;Arson;MS;2004;Aug;5.49E+16;12;2.35E+16;2245105485;214872549;2065103986;2840576725;3.52E+16;2635784314;2346747615;7695584989;7591722595;718974359;8174074074;169.6;69.6;5.4;353.2;0.196207125
6;B;Arson;AR;2004;Aug;5.04E+16;16;2135506403;2140950226;2037810945;1821774194;0.936670547;0.959728507;0.908955224;115141129;6841297468;6642434211;6598630137;7224740484;11.5;3.4;2.9;99.9;0.243940902
3;B;Equipment Use;AR;2004;Aug;1692043291;16;25188251;2508479532;2385542169;2143119266;0.552736983;1210526316;1.67E+16;2621508665;6767559944;634620462;6442580645;7363302752;2.4;0.3;0.3;203.3;0.224614168
7;B;Debris Burning;TX;2002;Aug;2114950117;12;2531217184;2443140965;2296558704;1975428292;2321622912;2595364238;349534413;20319628;7104719324;6929035433;6305042017;7.76E+15;53.4;13.7;8.1;64.8;0.250261774
1.5;B;Arson;AL;1999;Aug;2.58E+16;16;2.38E+16;2075842105;1896972973;1726745636;2443175853;2.66E+16;2526486486;2.51E+16;5795333333;5974736842;6483243243;6953045685;51.3;22.1;19.6;27.7;0.184540929
1;B;Debris Burning;MO;1999;Aug;7196042572;0;2010254237;1671923937;157036036;1.41E+16;2820581114;2750559284;3027027027;3.35E+16;6645784884;6777222222;6940677966;6571705426;29;1;1;72.5;0.239733938
12;C;Miscellaneous;LA;1999;Aug;6588483308;12;2399298701;2188543956;2045555556;1854024845;2.22E+16;243021978;1965497076;2000501253;6631983806;5985236769;6369879518;7045103858;45.4;0.6;0.6;71.3;0.230158033
5745;G;Equipment Use;CA;1997;Aug;3575669332;0;2406460674;2292245989;2513772455;2483333333;2822331461;2867379679;2.39E+16;3500833333;4753239437;4.97E+15;3874850299;36.2;5.6;5.6;0;0;0.137840401
1100;F;Arson;CA;1997;Aug;491361995;14;2241764706;2091864865;2328928571;1671816976;226880985;2376756757;2117857143;278872679;5009065934;5592370572;4608333333;5724694708;41.4;41.4;0;0;0.512331701
